,HOME,AWAY,YEAR,SCORE
3,OAK,DET,1993,5
5,CIN,MON,1993,1
7,NYM,COL,1993,3
8,FLA,LAD,1993,3
9,CAL,MIL,1993,2
11,SEA,TOR,1993,7
12,CHC,ATL,1993,1
14,PIT,SD,1993,5
19,CLE,NYY,1993,2
21,MIN,CWS,1993,5
22,OAK,DET,1993,5
27,NYM,COL,1993,5
28,STL,SF,1993,4
30,CLE,NYY,1993,10
34,ATL,LAD,1993,5
36,PIT,SD,1993,1
37,STL,SF,1993,1
38,CAL,DET,1993,2
42,SEA,BAL,1993,6
43,TEX,BOS,1993,2
44,TOR,CLE,1993,3
45,ATL,LAD,1993,2
48,PIT,SF,1993,1
49,STL,CIN,1993,6
50,COL,MON,1993,7
55,OAK,MIL,1993,1
58,TOR,CLE,1993,1
61,PHI,CHC,1993,1
63,STL,CIN,1993,1
64,COL,MON,1993,4
65,FLA,SD,1993,1
66,CAL,DET,1993,1
67,CWS,NYY,1993,2
68,KC,MIN,1993,1
69,OAK,MIL,1993,6
70,SEA,BAL,1993,1
71,TEX,BOS,1993,3
73,ATL,LAD,1993,3
75,PHI,CHC,1993,3
82,NYY,KC,1993,3
83,TEX,BAL,1993,3
85,PHI,CIN,1993,1
87,SF,FLA,1993,1
88,BOS,CLE,1993,4
89,CWS,MIN,1993,4
90,DET,OAK,1993,16
91,TEX,BAL,1993,5
92,TOR,SEA,1993,1
93,ATL,CHC,1993,1
96,PHI,CIN,1993,3
98,SF,FLA,1993,2
100,BOS,CLE,1993,5
102,NYY,KC,1993,1
108,PHI,CIN,1993,7
112,BOS,CLE,1993,1
113,DET,OAK,1993,1
115,TOR,SEA,1993,2
117,MON,HOU,1993,1
119,SF,ATL,1993,5
120,COL,NYM,1993,2
121,BAL,CAL,1993,3
123,CLE,TOR,1993,12
124,DET,SEA,1993,5
125,MIN,KC,1993,1
126,NYY,TEX,1993,2
127,CHC,PHI,1993,2
129,HOU,FLA,1993,6
130,LAD,PIT,1993,3
131,MON,COL,1993,1
132,SD,STL,1993,4
133,SF,ATL,1993,1
135,BOS,CWS,1993,4
137,DET,SEA,1993,17
138,MIL,OAK,1993,3
139,MIN,KC,1993,6
141,CHC,PHI,1993,3
144,LAD,PIT,1993,3
146,SD,STL,1993,1
148,BAL,CAL,1993,1
149,BOS,CWS,1993,4
150,CLE,TOR,1993,1
151,DET,SEA,1993,1
152,MIL,OAK,1993,8
156,CIN,NYM,1993,1
157,HOU,FLA,1993,3
158,LAD,PIT,1993,2
159,MON,COL,1993,2
160,SD,STL,1993,4
161,SF,ATL,1993,1
162,BOS,CWS,1993,6
166,CAL,CLE,1993,5
167,DET,TEX,1993,2
168,KC,TOR,1993,6
169,MIN,MIL,1993,10
170,OAK,NYY,1993,2
172,CHC,HOU,1993,1
173,MON,LAD,1993,4
175,PHI,SD,1993,1
177,STL,COL,1993,5
179,CAL,CLE,1993,1
180,DET,TEX,1993,1
181,KC,TOR,1993,1
184,SEA,BOS,1993,5
186,MON,LAD,1993,2
187,NYM,SF,1993,10
192,CAL,CLE,1993,8
194,MIN,MIL,1993,1
196,SEA,BOS,1993,7
197,MON,LAD,1993,2
200,PIT,CIN,1993,1
201,STL,COL,1993,3
202,FLA,ATL,1993,1
203,CAL,BOS,1993,3
204,KC,BAL,1993,1
205,MIL,TEX,1993,3
207,SEA,NYY,1993,3
209,CHC,CIN,1993,3
210,MON,SF,1993,5
211,NYM,SD,1993,5
212,PHI,LAD,1993,2
215,COL,FLA,1993,1
216,CAL,BOS,1993,3
222,TOR,CWS,1993,6
224,MON,SF,1993,5
226,PHI,LAD,1993,4
230,CAL,BOS,1993,1
231,KC,BAL,1993,1
236,TOR,CWS,1993,1
237,CHC,CIN,1993,1
240,PHI,LAD,1993,3
241,PIT,HOU,1993,5
242,STL,ATL,1993,4
244,CWS,BAL,1993,7
246,MIL,MIN,1993,7
247,SEA,CLE,1993,3
248,TOR,TEX,1993,2
250,CIN,FLA,1993,3
252,PHI,SF,1993,1
256,CWS,BAL,1993,5
257,KC,DET,1993,1
258,MIL,MIN,1993,1
259,OAK,BOS,1993,5
260,SEA,CLE,1993,4
261,TOR,TEX,1993,1
264,HOU,STL,1993,7
267,SD,MON,1993,3
268,COL,CHC,1993,9
269,BAL,MIN,1993,4
270,CAL,NYY,1993,1
271,CWS,MIL,1993,9
273,SEA,CLE,1993,4
274,TEX,DET,1993,1
277,CIN,PIT,1993,2
278,HOU,CHC,1993,5
279,LAD,MON,1993,5
281,SF,NYM,1993,1
283,BAL,MIN,1993,11
284,CWS,MIL,1993,3
286,TOR,KC,1993,8
288,HOU,CHC,1993,1
291,SF,NYM,1993,5
293,BAL,KC,1993,7
294,BOS,CAL,1993,5
295,CWS,TOR,1993,8
297,DET,MIN,1993,8
298,NYY,SEA,1993,3
300,ATL,STL,1993,1
302,HOU,PIT,1993,9
304,SD,NYM,1993,1
305,SF,MON,1993,3
308,BOS,CAL,1993,2
309,CWS,TOR,1993,6
310,CLE,OAK,1993,1
312,NYY,SEA,1993,4
315,CIN,CHC,1993,5
316,HOU,PIT,1993,4
317,LAD,PHI,1993,4
318,SD,NYM,1993,2
319,SF,MON,1993,4
320,FLA,COL,1993,1
322,BOS,CAL,1993,2
323,CWS,TOR,1993,6
324,CLE,OAK,1993,1
326,NYY,SEA,1993,4
329,CIN,CHC,1993,5
330,HOU,PIT,1993,4
331,LAD,PHI,1993,4
332,SD,NYM,1993,2
333,SF,MON,1993,4
334,FLA,COL,1993,1
335,BAL,KC,1993,1
336,BOS,CAL,1993,1
338,CLE,OAK,1993,8
340,NYY,SEA,1993,1
341,TEX,MIL,1993,11
342,ATL,STL,1993,1
347,SF,MON,1993,1
350,CLE,CAL,1993,1
352,TEX,MIL,1993,7
354,CLE,CAL,1993,2
355,DET,KC,1993,2
356,MIL,CWS,1993,5
357,MIN,BAL,1993,1
358,NYY,OAK,1993,2
359,TEX,TOR,1993,1
361,LAD,NYM,1993,4
362,MON,SD,1993,5
364,STL,HOU,1993,5
366,FLA,CIN,1993,3
367,BOS,OAK,1993,2
368,CLE,SEA,1993,1
373,TEX,TOR,1993,6
374,CHC,COL,1993,1
375,LAD,NYM,1993,1
376,MON,SD,1993,1
377,PIT,ATL,1993,3
379,SF,PHI,1993,9
384,TOR,BAL,1993,2
387,CAL,OAK,1993,1
388,CWS,CLE,1993,1
389,DET,NYY,1993,1
390,KC,TEX,1993,5
393,TOR,BAL,1993,1
396,NYM,FLA,1993,4
397,PHI,STL,1993,1
399,SF,LAD,1993,3
402,CWS,CLE,1993,3
404,MIL,BOS,1993,3
405,SEA,MIN,1993,5
407,CHC,SD,1993,2
408,HOU,CIN,1993,11
410,PHI,STL,1993,1
411,PIT,MON,1993,1
414,CAL,OAK,1993,1
415,CWS,CLE,1993,1
418,MIL,BOS,1993,6
419,SEA,MIN,1993,2
422,HOU,CIN,1993,3
424,PHI,STL,1993,1
425,PIT,MON,1993,1
428,BAL,BOS,1993,1
430,DET,NYY,1993,1
433,CHC,LAD,1993,4
434,CIN,SD,1993,1
435,HOU,ATL,1993,3
436,NYM,FLA,1993,1
437,PHI,PIT,1993,4
438,COL,SF,1993,3
440,CAL,MIN,1993,2
442,NYY,MIL,1993,4
443,OAK,TEX,1993,6
444,SEA,CWS,1993,1
446,CHC,LAD,1993,1
447,CIN,SD,1993,2
449,MON,FLA,1993,2
451,STL,NYM,1993,3
455,CLE,KC,1993,4
457,OAK,TEX,1993,1
461,CIN,SD,1993,1
464,PHI,PIT,1993,3
465,STL,NYM,1993,1
468,NYY,MIL,1993,2
470,TOR,DET,1993,1
471,CIN,SD,1993,6
472,MON,FLA,1993,1
476,DET,BAL,1993,1
477,MIL,CLE,1993,3
478,MIN,BOS,1993,1
480,OAK,SEA,1993,1
482,ATL,PHI,1993,3
483,CHC,PIT,1993,1
484,CIN,COL,1993,8
485,HOU,LAD,1993,8
486,MON,NYM,1993,1
487,STL,FLA,1993,5
488,SD,SF,1993,2
489,CAL,KC,1993,2
490,DET,BAL,1993,2
492,MIN,BOS,1993,3
493,NYY,TOR,1993,1
494,OAK,SEA,1993,1
495,TEX,CWS,1993,2
496,ATL,PHI,1993,2
497,CHC,PIT,1993,9
498,CIN,COL,1993,2
499,HOU,LAD,1993,6
500,MON,NYM,1993,1
505,MIL,CLE,1993,2
512,CIN,COL,1993,12
513,HOU,LAD,1993,1
514,MON,NYM,1993,1
515,STL,FLA,1993,1
522,ATL,MON,1993,3
523,LAD,CIN,1993,1
525,SD,COL,1993,4
526,SF,HOU,1993,1
528,BAL,CLE,1993,7
529,CWS,CAL,1993,3
530,KC,OAK,1993,5
533,TEX,SEA,1993,1
535,LAD,CIN,1993,8
539,SF,HOU,1993,5
541,BAL,CLE,1993,3
542,BOS,TOR,1993,5
544,KC,OAK,1993,5
