,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
0,1,Jay Powell,ATL,5,0,3.1,1,0,0,4,1,0,0,0,0,0.3,1.50,0.00
1,,Felix Heredia,NYM,3,0,2.2,1,0,0,1,2,0,0,0,0,0.1,0.75,0.00
2,,Travis Driskill,HOU,1,0,1.0,1,0,0,0,2,0,0,0,0,0.0,1.00,0.00
3,,Frank Brooks,ATL,1,0,0.1,1,0,0,0,0,0,0,0,0,0.0,3.00,0.00
4,,Tyler Johnson,STL,5,0,2.2,3,0,0,3,4,0,0,0,1,0.2,2.25,0.00
5,,Jorge Campillo,SEA,2,1,2.0,1,0,0,1,1,0,0,0,0,0.1,1.00,0.00
6,,Shaun Marcum,TOR,5,0,8.0,6,0,0,4,4,0,0,0,0,0.4,1.25,0.00
7,8,Scott Feldman,TEX,8,0,9.1,9,1,1,2,4,0,1,0,0,0.5,1.18,0.96
8,9,Ron Flores,OAK,11,0,8.2,8,1,1,0,6,0,0,0,0,0.2,0.92,1.04
9,10,Mariano Rivera,NYY,71,0,78.1,50,18,12,18,80,7,4,43,4,3.9,0.87,1.38
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,11,Fernando Cabrera,CLE,15,0,30.2,24,7,5,11,29,2,1,0,0,0.6,1.14,1.47
12,12,Juan Padilla,NYM,24,0,36.1,24,7,6,13,17,3,1,1,1,1.3,1.02,1.49
13,13,Mark Woodyard,DET,3,0,6.0,4,1,1,0,3,0,0,0,0,0.2,0.67,1.50
14,14,Billy Wagner,PHI,75,0,77.2,45,17,13,20,87,4,3,38,3,2.6,0.84,1.51
15,15,Jack Taschner,SF,24,0,22.2,15,5,4,13,19,2,0,0,1,0.7,1.24,1.59
16,,Chuck James,ATL,2,0,5.2,4,1,1,3,5,0,0,0,0,0.2,1.24,1.59
17,17,Clay Hensley,SD,24,1,47.2,33,12,9,17,28,1,1,0,0,1.3,1.05,1.70
18,18,Huston Street,OAK,67,0,78.1,53,17,15,26,72,5,1,23,4,2.8,1.01,1.72
19,19,Derrick Turnbow,MIL,69,0,67.1,49,15,13,24,64,7,1,39,4,2.8,1.08,1.74
20,20,Brandon Medders,ARI,27,0,30.1,21,6,6,11,31,4,1,0,0,0.9,1.05,1.78
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,21,Zach Duke,PIT,14,14,84.2,79,20,17,23,58,8,2,0,0,3.3,1.20,1.81
23,22,Chad Cordero,WAS,74,0,74.1,55,24,15,17,61,2,4,47,7,1.9,0.97,1.82
